sku,model,brand,size,store_id,stock_count,current_price,pre_order_days
134787812,Assel Luxe 3D-картина Белая нежность 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
149121480,Assel Luxe 3D-картина «Золотая осень» — 70100 см 70x100 см,assel-luxe1,70x100,30426776_PP1,10.0,29990,2
620455647,Assel Luxe модульная картина Хлебный колос 80x80 см,assel-luxe1,80x80,30426776_PP1,10.0,79990,2
373074270,Assel Luxe модульная картина Орнамент 200x70 см,assel-luxe1,200x70,30426776_PP1,10.0,84990,2
419400305,Assel Luxe 3D-картина 419400305 160x80 см,assel-luxe1,160x80,30426776_PP1,10.0,49990,2
720661735,Assel Decor 3D-картина Берег озера 80x160 см,assel-decor,80x160,30426776_PP1,10.0,49990,2
159367892,Assel Luxe 3D-картина Картина Две Лошади 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
100484237,Assel Decor 3D-картина Арыстан отбасы 80x160 см,assel-decor,80x160,30426776_PP1,10.0,49990,2
920701256,Assel Luxe 3D-картина Инь Янь 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
626827820,Assel Luxe 3D-картина Рыбы и лотос 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
346846736,Assel Luxe модульная картина Дерево 200x70 см,assel-luxe1,200x70,30426776_PP1,10.0,84990,2
776310460,Assel Luxe 3D-картина Цветочки растения 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
857041643,"Часы механические Assel Luxe 857041643, металл",assel-luxe1,,30426776_PP1,10.0,84990,2
279105148,Assel Luxe 3D-картина Лошадь с подсветкой 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
130571088_838813016,Assel Luxe 3D-картина Дерево с желтыми листьями 160x80 см,assel-luxe1,160x80,30426776_PP1,10.0,49990,2
025122091,Assel Luxe модульная картина Assel Luxe Картина модуль цветы 50x70 см,assel-luxe1,50x70,30426776_PP1,10.0,14990,2
126380388,Assel Decor 3D-картина Лебеди 80x160 см,assel-decor,80x160,30426776_PP1,10.0,49990,2
687780854,Assel Luxe модульная картина Амулет Счастья 200x70 см,assel-luxe1,200x70,30426776_PP1,10.0,84990,2
611193475,Assel Luxe 3D-картина Желтая птичка 80x160 см,assel-luxe1,80x160,30426776_PP1,10.0,49990,2
